D/G/ID,Practice,Region,Country,CRM,Customer,Proj desc,Loc,Status,Status Category,Wt.,Type,Role,CUR,Rate in base,Rate in EUR,A,CY23- UWt. Rev,Jan'23-WD,Jan'23- HC,Jan'23- UWt. Rev,Feb'23- WD,Feb'23- HC,Feb'23- UWt. Rev,Mar'23- WD,Mar'23- HC,Mar'23- UWt. Rev,Apr'23- WD,Apr'23- HC,Apr'23- UWt. Rev,May'23- WD,May'23- HC,May'23- UWt. Rev,Jun'23- WD,Jun'23- HC,Jun'23- UWt. Rev,Jul'23- WD,Jul'23- HC,Jul'23- UWt. Rev,Aug'23- WD,Aug'23- HC,Aug'23- UWt. Rev,Sep'23- WD,Sep'23- HC,Sep'23- UWt. Rev,Oct'23- WD,Oct'23- HC,Oct'23- UWt. Rev,Nov'23- WD,Nov'23- HC,Nov'23- UWt. Rev,Dec'23- WD,Dec'23- HC,Dec'23- UWt. Rev,B,Q1'23- Un. Wt. Rev,Q2'23- Un. Wt. Rev,Q3'23- Un. Wt. Rev,Q4'23- Un. Wt. Rev,Q1'22+Q2'22,CY'23 Wt. Total,Jan'23- Wt. Rev,Feb'23- Wt. Rev,Mar'23- Wt. Rev,Apr'23- Wt. Rev,May'23- Wt. Rev,Jun'23- Wt. Rev,Jul'23- Wt. Rev,Aug'23- Wt. Rev,Sep'23- Wt. Rev,Oct'23- Wt. Rev,Nov'23- Wt. Rev,Dec'23- Wt. Rev,Q1'23-Wt.Rev,Q2'23- Wt.Rev,Q3'23- Wt.Rev,Q4'23- Wt.Rev,C,CY - HC,Q1'23-HC,Q2'23- HC,Q3'23- HC,Q4'23- HC,D,CY target,Jan'23- Target,Feb'23- Target,Mar'23- Target,Apr'23- Target,May'23- Target,Jun'23- Target,Jul'23- Target,Aug'23- Target,Sep'23- Target,Oct'23- Target,Nov'23- Target,Dec'23- Target,Q1'23- Target,Q2'23- Target,Q3'23- Target,Q4'23- Target,E,Entity,Proposal/ Opp Type,Revenue Bucket,Engg/Tech,KAM,Partner,GTM Category,External/Internal,Signed SoW/PO,Proposal Value in Base currency,Proposal Cost in Base currency,Proposal Cost in Base currency(PM),Proposal Value in EUR,Proposal Cost in EUR,Proposal Cost in EUR(PM),S OM%,S PM%,Gross Revenue,Gross Margin,A OM%,Project Margin,A PM %,Target Value,Targe Cost,G OM%,F,Project code,Service Types,Service category,Digital/ Non digital,CBU Mapping
Direct,Banking,APAC,Philippines,Ron,BancNet Inc,SF-061146/Test and Defect Management,Off,1 - Plan & Build Solution,Actuals/FC,0.1,Fixed,,USD,,0,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,ESL,New,Wt. Pipeline,Tech,Rest,N,,External,,,,,0,0,0,0,0,,,0,,0,,,0,,TBC,User Acceptance Testing (UAT),Traditional Testing Services,Non Digital,Quality Assurance
Direct,Banking,APAC,Philippines,Ron,Bangko Sentral ng Pilipinas (BSP),SF-061136/Blue Prism,Off,"3 - Submit Proposal, Negotiate & Close",Actuals/FC,0.1,Fixed,,USD,,0,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,ESL,New,Wt. Pipeline,Tech,Rest,Partner - Blue Prism,,External,,,,,0,0,0,0,0,,,0,,0,,,0,,TBC,Expleo Products/IP - FaXimme,Development,Digital,Quality Assurance
Direct,Banking,APAC,Philippines,Ron,"Bank Of Makati, Inc.",SF-061129/RPA Blue Prism,Off,1 - Plan & Build Solution,Actuals/FC,0.1,Fixed,,USD,,0,,0.0,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,ESL,New,Wt. Pipeline,Tech,Rest,Partner - Blue Prism,,External,,,,,0,0,0,0,0,,,0,,0,,,0,,TBC,"RPA - Design, develop, build, test and deploy BOTs",New Gen Services,Digital,Digital and Emerging Services
Direct,Banking,APAC,Philippines,Ron,City Savings Bank,LR Mobile app,Off,"3 - Submit Proposal, Negotiate & Close",Actuals/FC,0.25,Fixed,,USD,,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,ESL,New,Wt. Pipeline,Tech,Rest,,Keep,External,,,,,0,0,0,0,0,,,0,,0,,,0,,TBC,Performance Testing,Specialized Testing Services,Digital,Quality Engineering
Direct,Banking,APAC,Philippines,Ron,City Savings Bank,LR Mobile app,Off,"3 - Submit Proposal, Negotiate & Close",Actuals/FC,0.25,Fixed,,USD,,0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,ESL,New,Wt. Pipeline,Tech,Rest,,Keep,External,,427260.0,349806.30720000004,290536.80000000005,0,0,0,0,0,,,0,,0,,,0,,TBC,User Acceptance Testing (UAT),Traditional Testing Services,Non Digital,Quality Assurance
Direct,Banking,APAC,Philippines,Ron,City Savings Bank,LR Mobile App - RA,Off,4 - Closed Won,Actuals/FC,1.0,T&M,,USD,150,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,5.0,1.0,0.0,21.0,1.0,0.0,19.0,1.0,0.0,20.0,1.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,ESL,New,Backlog,Tech,Rest,,,External,,,,,0,0,0,0,0,,,0,,0,,,0,,,Business Analysis,Consultancy,Non Digital,Quality Assurance
Direct,Banking,APAC,Philippines,Ron,City Savings Bank,Project Genesis - RA,Off,4 - Closed Won,Actuals/FC,1.0,T&M,,USD,150,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,5.0,1.0,0.0,21.0,1.0,0.0,19.0,1.0,0.0,20.0,1.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,ESL,New,Backlog,Tech,Rest,,,External,,9660000.0,10073351.100000001,8505300.0,0,0,0,0,0,,,0,,0,,,0,,,User Acceptance Testing (UAT),Traditional Testing Services,Non Digital,Quality Assurance
Direct,Banking,APAC,Philippines,Ron,City Savings Bank,CSB - TCoE,Off,4 - Closed Won,Actuals/FC,1.0,Fixed,,USD,184,0,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,20.0,4.0,0.0,,4.0,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,4.0,0.0,0.0,4.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,ESL,New,Backlog,Tech,Rest,,Keep,External,,,,,0,0,0,0,0,,,0,,0,,,0,,TBC,TCoE,Consultancy,Non Digital,Quality Assurance
Direct,Banking,APAC,Philippines,Ron,City Savings Bank,SF-061144/Automated billing system,Off,"3 - Submit Proposal, Negotiate & Close",Actuals/FC,0.25,Fixed,,USD,,0,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,ESL,New,Wt. Pipeline,Tech,Rest,,Keep,External,,1245000.0,989100.0,827249.9999999999,0,0,0,0,0,,,0,,0,,,0,,TBC,Test Automation - Automated /Manual  Test Regression Packs,Traditional Testing Services,Digital,Quality Engineering
Direct,Banking,APAC,Philippines,Ron,City Savings Bank,CSB - Data Hive & Reports,Off,4 - Closed Won,Actuals/FC,1.0,Fixed,,USD,140.54,0,,0.0,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,18.0,2.0,0.0,22.0,2.0,0.0,20.0,2.0,0.0,5.0,2.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,2.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,ESL,New,Backlog,Tech,Rest,,Keep,External,,,,,0,0,0,0,0,,,0,,0,,,0,,TBC,User Acceptance Testing (UAT),Traditional Testing Services,Non Digital,Quality Assurance
